FEATUREID,MAG,PLACE,TIME,UPDATED,TZ,URL,DETAIL,FELT,CDI,MMI,ALERT,STATUS,TSUNAMI,SIG,NET,CODE,IDS,SOURCES,TYPES,NST,DMIN,RMS,GAP,MAG_TYPE,TYPE,TITLE,ETL_LOAD_DATE
us2000ahv0,8.200,"101km SSW of Tres Picos, Mexico",2017-09-08T04:49:19.18Z,2020-09-15T18:44:58.448Z,-360,https://earthquake.usgs.gov/earthquakes/eventpage/us2000ahv0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000ahv0&format=geojson,3187,9.1000000000,7.3980000000,red,reviewed,1,2910,us,2000ahv0,",at00ovy2q7,pt17251000,us2000ahv0,",",at,pt,us,",",dyfi,finite-fault,general-link,general-text,geoserve,ground-failure,impact-link,impact-text,losspager,moment-tensor,origin,phase-data,poster,scitech-link,shakemap,",,0.944,1.220,22.000,mww,earthquake,"M 8.2 - 101km SSW of Tres Picos, Mexico",2020-09-19
us10008kce,6.900,"40km W of Valparaiso, Chile",2017-04-24T21:38:30.82Z,2020-07-21T00:11:12.262Z,-300,https://earthquake.usgs.gov/earthquakes/eventpage/us10008kce,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us10008kce&format=geojson,1301,9.1000000000,6.6620000000,yellow,reviewed,1,1642,us,10008kce,",at00ooxo40,pt17114000,us10008kce,",",at,pt,us,",",dyfi,finite-fault,general-text,geoserve,impact-link,impact-text,losspager,moment-tensor,origin,phase-data,shakemap,",,0.356,0.730,39.000,mww,earthquake,"M 6.9 - 40km W of Valparaiso, Chile",2020-09-19
us20009mbt,6.900,"2km SSW of San Pablo, Guatemala",2017-06-14T07:29:04.39Z,2020-07-10T16:44:15.904Z,-360,https://earthquake.usgs.gov/earthquakes/eventpage/us20009mbt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20009mbt&format=geojson,699,7.8000000000,6.4680000000,yellow,reviewed,1,1278,us,20009mbt,",at00orj0si,pt17165003,us20009mbt,",",at,pt,us,",",dyfi,general-text,geoserve,impact-link,impact-text,losspager,moment-tensor,origin,phase-data,shakemap,",,0.247,1.420,35.000,mww,earthquake,"M 6.9 - 2km SSW of San Pablo, Guatemala",2020-09-19
us2000bmhe,6.500,"18km W of Parrita, Costa Rica",2017-11-13T02:28:23.68Z,2020-08-15T01:22:51.287Z,-360,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bmhe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000bmhe&format=geojson,645,7.8000000000,7.5210000000,yellow,reviewed,1,1153,us,2000bmhe,",at00ozc47b,pt17317000,us2000bmhe,",",at,pt,us,",",dyfi,geoserve,ground-failure,impact-link,impact-text,losspager,moment-tensor,origin,phase-data,shakemap,",,0.225,1.250,37.000,mww,earthquake,"M 6.5 - 18km W of Parrita, Costa Rica",2020-09-19
us2000c4v8,6.500,"1km E of Kampungbaru, Indonesia",2017-12-15T16:47:58.23Z,2020-07-10T16:59:14.717Z,420,https://earthquake.usgs.gov/earthquakes/eventpage/us2000c4v8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000c4v8&format=geojson,559,7.4000000000,6.6450000000,green,reviewed,1,1064,us,2000c4v8,",us2000c4v8,",",us,",",dyfi,geoserve,impact-text,losspager,moment-tensor,origin,phase-data,shakemap,",,2.365,1.070,28.000,mww,earthquake,"M 6.5 - 1km E of Kampungbaru, Indonesia",2020-09-19
us10008mel,6.200,"88km WNW of Skagway, Alaska",2017-05-01T12:31:55.59Z,2020-07-10T15:29:08.724Z,-480,https://earthquake.usgs.gov/earthquakes/eventpage/us10008mel,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us10008mel&format=geojson,728,6.1000000000,7.5770000000,green,reviewed,1,1035,us,10008mel,",ak15852756,us10008mel,at00op9xh5,ak0175kbcyau,",",ak,us,at,ak,",",associate,dyfi,geoserve,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",,0.554,0.960,28.000,mww,earthquake,"M 6.2 - 88km WNW of Skagway, Alaska",2020-09-19
us20009p1a,6.800,"28km SW of Puerto San Jose, Guatemala",2017-06-22T12:31:03.49Z,2020-07-10T16:44:40.407Z,-360,https://earthquake.usgs.gov/earthquakes/eventpage/us20009p1a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20009p1a&format=geojson,512,6.3000000000,5.9520000000,yellow,reviewed,1,1034,us,20009p1a,",at00ory83s,pt17173000,us20009p1a,",",at,pt,us,",",dyfi,general-text,geoserve,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",,1.065,1.460,38.000,mww,earthquake,"M 6.8 - 28km SW of Puerto San Jose, Guatemala",2020-09-19
us10007uph,7.900,"35km WNW of Panguna, Papua New Guinea",2017-01-22T04:30:22.96Z,2020-07-10T15:22:42.046Z,660,https://earthquake.usgs.gov/earthquakes/eventpage/us10007uph,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us10007uph&format=geojson,30,9.1000000000,7.2530000000,yellow,reviewed,1,987,us,10007uph,",pt17022050,us10007uph,at00ok5z6p,",",pt,us,at,",",dyfi,finite-fault,general-text,geoserve,impact-link,impact-text,losspager,moment-tensor,origin,phase-data,poster,shakemap,",,3.625,1.220,9.000,mww,earthquake,"M 7.9 - 35km WNW of Panguna, Papua New Guinea",2020-09-19
us10008mgu,6.300,"88km WNW of Skagway, Alaska",2017-05-01T14:18:15.29Z,2020-07-10T15:29:38.792Z,-480,https://earthquake.usgs.gov/earthquakes/eventpage/us10008mgu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us10008mgu&format=geojson,486,7.5000000000,8.0360000000,green,reviewed,1,975,us,10008mgu,",ak15854231,us10008mgu,at00opa2ee,ak0175kcgy8r,",",ak,us,at,ak,",",associate,dyfi,geoserve,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",,,0.850,,mww,earthquake,"M 6.3 - 88km WNW of Skagway, Alaska",2020-09-19
nc72923380,4.580,"22km NE of Gonzales, California",2017-11-13T19:31:29.05Z,2018-10-05T14:00:40.985Z,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc72923380,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72923380&format=geojson,4066,6.2000000000,5.6600000000,green,reviewed,1,943,nc,72923380,",nc72923380,at00ozdfkg,us2000bmti,",",nc,at,us,",",dyfi,focal-mechanism,geoserve,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shakemap,",82,0.060,0.110,55.000,mw,earthquake,"M 4.6 - 22km NE of Gonzales, California",2020-09-19
